Fecha;Descripción;Monto;Cuotas
01/10/2025;Jumbo Providencia;45000;
02/10/2025;Uber Trip Centro a Casa;8500;
03/10/2025;Netflix Premium 1/12;8990;1/12
05/10/2025;Falabella Compra Notebook 1/12;125000;1/12
07/10/2025;Starbucks Mall;6800;
09/10/2025;Lider Express;28000;
10/10/2025;Bencinera Copec;35000;
11/10/2025;Ripley Ropa 3/6;18500;3/6
12/10/2025;Cruz Verde Farmacia;12300;
14/10/2025;Spotify Premium;3990;
15/10/2025;Unimarc Providencia;52000;
17/10/2025;Cinemark Entrada 2x1;14000;
18/10/2025;Rappi Delivery;22000;
19/10/2025;Paris Compra Zapatos 2/3;29900;2/3
20/10/2025;Enel Luz (Recurrente);45000;
21/10/2025;VTR Internet (Recurrente);28990;
22/10/2025;Santa Isabel;35000;
24/10/2025;Uber Eats Sushi;32000;
25/10/2025;Salcobrand Medicamentos;8700;
26/10/2025;Tottus Compra Mensual;95000;
28/10/2025;Sodimac Herramientas 1/6;45000;1/6
29/10/2025;Entel Celular (Recurrente);19990;
30/10/2025;Gym SmartFit;35000;
